Tounament Name,Start Date,End Date,Prize Pool,Participating Teams,Location,Country,Winner,Runner Up
DreamHack Winter 2013,28-Nov-13,30-Nov-13,"250,000",16, Jönköping,Sweden,Fnatic,NiP
ESL Major Series One Katowice 2014,13-Mar-14,16-Mar-14,"250,000",16,Katowice,Poland,VP,NiP
ESL One: Cologne 2014,14-Aug-14,17-Aug-14,"250,000",16,Cologne,Germany,NiP,Fnatic
DreamHack Winter 2014,27-Nov-14,29-Nov-14,"250,000",16, Jönköping,Sweden,LDLC,NiP
ESL One: Katowice 2015,12-Mar-15,15-Mar-15,"250,000",16,Katowice,Poland,Fnatic,NiP
ESL One: Cologne 2015,20-Aug-15,23-Aug-15,"250,000",16,Cologne,Germany,Fnatic,Envy
DreamHack Open Cluj⁠-⁠Napoca 2015,28-Oct-15,01-Nov-15,"250,000",16,Cluj-Napoca,Romania,Envy,Na'Vi
MLG Major Championship: Columbus 2016,29-Mar-16,03-Apr-16,"1,000,000",16,Columbus,United States,LG,Na'Vi
ESL One: Cologne 2016,05-Jul-16,10-Jul-16,"1,000,000",16,Cologne,Germany,SK,Liquid
ELEAGUE Major Atlanta 2017,22-Jan-17,29-Jan-17,"1,000,000",16,Atlanta,United States,Astralis,VP
PGL Major Kraków 2017,16-Jul-17,23-Jul-17,"1,000,000",16,Kraków,Poland,Gambit,IMT
ELEAGUE Major Boston 2018,12-Jan-18,28-Jan-18,"1,000,000",23,Boston,United States,C9,FaZe
FACEIT Major: London 2018,05-Sep-18,23-Sep-18,"1,000,000",24,London,United Kingdom,Astralis,Na'Vi
Intel Extreme Masters XIII - Katowice Major 2019,13-Feb-19,03-Mar-19,"1,000,000",24,Katowice,Poland,Astralis,ENCE
StarLadder Berlin Major 2019,23-Aug-19,08-Sep-19,"1,000,000",24,Berlin,Germany,Astralis,AVG
PGL Major Stockholm 2021,26-Oct-21,07-Nov-21,"2,000,000",24,Stockholm,Sweden,Na'Vi,G2
PGL Major Antwerp 2022,09-May-22,22-May-22,"1,000,000",24,Antwerp,Belgium,FaZe,Na'Vi
Intel Extreme Masters Rio Major 2022,31-Oct-22,13-Nov-22,"1,250,000",24,Rio de Janeiro,Brazil,Outsiders,Heroic
BLAST.tv Paris Major 2023,08-May-23,21-May-23,"1,250,000",24,Paris,France,Vitality,GL
PGL Major Copenhagen 2024,17-Mar-24,31-Mar-24,"1,250,000",24,Copenhagen,Denmark,Na'Vi,FaZe
Perfect World Shanghai Major 2024,30-Nov-24,15-Dec-24,"1,250,000",24,Shanghai,China,Spirit,FaZe
BLAST.tv Austin Major 2025,03-Jun-25,22-Jun-25,"1,250,000",32,Austin,United States,Vitality,MongolZ
StarLadder Budapest Major 2025,24-Nov-25,14-Dec-25,"1,250,000",32,Budapest,Hungary,N/A,N/A
Intel Extreme Masters Cologne Major 2026,02-Jun-26,21-Jun-26,"1,250,000",32,Cologne,Germany,N/A,N/A
